momentID,activity,moment,counterparty,price,dateGMT
13562781,Bought,Darius Garland · CLE · Assist · 4/19/2021 · Base Set · Series 2 · #4337,0x011dbf8099c6dabf (nizzle365),4,2022-04-13T05:09:52.000Z
11142705,Bought,Paul George · LAC · Jump Shot · 2/19/2021 · Base Set · Series 2 · #11165,0xa179c8d0ee9982da (JohnnyKilroy_4),4,2022-04-13T05:10:45.000Z
12738082,Bought,Shai Gilgeous-Alexander · OKC · Layup · 1/10/2021 · Base Set · Series 2 · #38569,0xd0b5d31bae64f5ca (TheHeadHoncho),2,2022-04-13T05:14:29.000Z
12421151,Bought,Carmelo Anthony · POR · 3 Pointer · 5/3/2021 · Base Set · Series 2 · #17203,0xc918e3c88b14c5e4 (COOKING1234),2,2022-04-13T05:15:04.000Z
9169486,Bought,Hamidou Diallo · DET · Dunk · 4/3/2021 · Base Set · Series 2 · #15380,0xc918e3c88b14c5e4 (COOKING1234),2,2022-04-13T05:15:43.000Z
14044810,Bought,Kyle Kuzma · LAL · Dunk · 5/2/2021 · Base Set · Series 2 · #38366,0x6ad5c389810409bf (MJSouthOC),2,2022-04-13T05:18:42.000Z
11115823,Bought,Marcus Morris Sr. · LAC · 3 Pointer · 1/31/2021 · Base Set · Series 2 · #31283,0x6ad5c389810409bf (MJSouthOC),2,2022-04-13T05:32:05.000Z
3285986,Bought,Goran Dragić · MIA · Layup · 1/18/2021 · Base Set · Series 2 · #22640,0xe5f4ec86f8e4711b (TheGeechee),2,2022-04-13T05:42:43.000Z
13791923,Bought,Kenyon Martin Jr. · HOU · Dunk · 3/24/2021 · Base Set · Series 2 · #37479,0xe5f4ec86f8e4711b (TheGeechee),2,2022-04-13T05:48:59.000Z
14387206,Bought,Julius Randle · NYK · Jump Shot · 3/13/2021 · Base Set · Series 2 · #36762,0xe5f4ec86f8e4711b (TheGeechee),2,2022-04-13T05:49:24.000Z
11605035,Bought,Tacko Fall · BOS · Handles · 5/5/2021 · Base Set · Series 2 · #20087,0xe5f4ec86f8e4711b (TheGeechee),2,2022-04-13T05:50:20.000Z
10658932,Bought,Joe Harris · BKN · Dunk · 4/27/2021 · Base Set · Series 2 · #22392,0x2bc9504e0c296e75 (RipCityPlayer),2,2022-04-13T06:17:50.000Z
5901845,Bought,Evan Fournier · ORL · Layup · 2/5/2021 · Base Set · Series 2 · #26482,0x95a28959cb75797e (EvgeniiChtez),2,2022-04-13T06:37:20.000Z
6572254,Bought,Damion Lee · GSW · 3 Pointer · 12/27/2020 · Base Set · Series 2 · #30920,0x95a28959cb75797e (EvgeniiChtez),2,2022-04-13T06:37:54.000Z
34658187,Listed,Danny Green · PHI · Block · 1/7/2022 · Base Set · Series 3 · #641,,4,2022-04-13T06:43:47.000Z
9296989,Bought,Hamidou Diallo · DET · Dunk · 4/3/2021 · Base Set · Series 2 · #22508,0x95a28959cb75797e (EvgeniiChtez),2,2022-04-13T06:48:21.000Z
6396822,Bought,Dorian Finney-Smith · DAL · Dunk · 1/7/2021 · Base Set · Series 2 · #7488,0xae0c442d33a168b1 (Irshjhny33),14,2022-04-13T07:03:45.000Z
16348712,Bought,Boban Marjanović · DAL · Layup · 5/30/2021 · 2021 NBA Playoffs · Series 2 · #6676,0xc29a05e804b82d80 (MercWithAMouth),8,2022-04-13T07:04:03.000Z
10878137,Bought,JJ Redick · DAL · Layup · 4/22/2021 · Base Set · Series 2 · #6597,0x4350772d18eb80cc (Samuel_Agostinho),9,2022-04-13T07:04:22.000Z
3066349,Bought,Dwight Powell · DAL · Dunk · 1/30/2021 · Base Set · Series 2 · #6003,0xee61dfe2bcb9a55b (LoftusOnNFTs),16,2022-04-13T07:04:30.000Z
1522106,Bought,Josh Green · DAL · Dunk · 12/27/2020 · Base Set · Series 2 · #5258,0x55642b4561813ab6 (gohonzalo),19,2022-04-13T07:06:02.000Z
1928874,Bought,Maxi Kleber · DAL · 3 Pointer · 1/7/2021 · Base Set · Series 2 · #4663,0x0cf47fdd0afb2e10 (Hakeetathedreeta),6,2022-04-13T07:06:32.000Z
